nohup: ignoring input
[1] order5big_0007: LINEAR (0.0s)  running={'LINEAR': 1}
[32] order5big_0255: LINEAR (0.0s)  running={'LINEAR': 21, 'SOLVED_FMB': 2, 'THEOREM': 9}
[33] order5big_0263: LINEAR (0.0s)  running={'LINEAR': 22, 'SOLVED_FMB': 2, 'THEOREM': 9}
[34] order5big_0271: THEOREM (60.6s)  running={'LINEAR': 22, 'SOLVED_FMB': 2, 'THEOREM': 10}
[35] order5big_0279: THEOREM (60.6s)  running={'LINEAR': 22, 'SOLVED_FMB': 2, 'THEOREM': 11}
[36] order5big_0287: LINEAR (0.0s)  running={'LINEAR': 23, 'SOLVED_FMB': 2, 'THEOREM': 11}
[37] order5big_0295: LINEAR (0.0s)  running={'LINEAR': 24, 'SOLVED_FMB': 2, 'THEOREM': 11}
[38] order5big_0303: LINEAR (0.0s)  running={'LINEAR': 25, 'SOLVED_FMB': 2, 'THEOREM': 11}
[39] order5big_0311: LINEAR (0.0s)  running={'LINEAR': 26, 'SOLVED_FMB': 2, 'THEOREM': 11}
[40] order5big_0319: SOLVED_FMB (1.5s)  running={'LINEAR': 26, 'SOLVED_FMB': 3, 'THEOREM': 11}
[41] order5big_0327: LINEAR (0.0s)  running={'LINEAR': 27, 'SOLVED_FMB': 3, 'THEOREM': 11}
[42] order5big_0335: LINEAR (0.0s)  running={'LINEAR': 28, 'SOLVED_FMB': 3, 'THEOREM': 11}
[43] order5big_0343: LINEAR (0.0s)  running={'LINEAR': 29, 'SOLVED_FMB': 3, 'THEOREM': 11}
[44] order5big_0351: LINEAR (0.0s)  running={'LINEAR': 30, 'SOLVED_FMB': 3, 'THEOREM': 11}
[45] order5big_0359: LINEAR (0.0s)  running={'LINEAR': 31, 'SOLVED_FMB': 3, 'THEOREM': 11}
[46] order5big_0367: THEOREM (76.0s)  running={'LINEAR': 31, 'SOLVED_FMB': 3, 'THEOREM': 12}
[47] order5big_0375: LINEAR (0.0s)  running={'LINEAR': 32, 'SOLVED_FMB': 3, 'THEOREM': 12}
[48] order5big_0383: LINEAR (0.0s)  running={'LINEAR': 33, 'SOLVED_FMB': 3, 'THEOREM': 12}
[49] order5big_0391: SOLVED_FMB (0.2s)  running={'LINEAR': 33, 'SOLVED_FMB': 4, 'THEOREM': 12}
[50] order5big_0399: THEOREM (60.6s)  running={'LINEAR': 33, 'SOLVED_FMB': 4, 'THEOREM': 13}
[51] order5big_0407: THEOREM (60.2s)  running={'LINEAR': 33, 'SOLVED_FMB': 4, 'THEOREM': 14}
[52] order5big_0415: LINEAR (0.0s)  running={'LINEAR': 34, 'SOLVED_FMB': 4, 'THEOREM': 14}
[53] order5big_0423: LINEAR (0.0s)  running={'LINEAR': 35, 'SOLVED_FMB': 4, 'THEOREM': 14}
[54] order5big_0431: LINEAR (0.0s)  running={'LINEAR': 36, 'SOLVED_FMB': 4, 'THEOREM': 14}
[55] order5big_0439: LINEAR (0.0s)  running={'LINEAR': 37, 'SOLVED_FMB': 4, 'THEOREM': 14}
[56] order5big_0447: LINEAR (0.0s)  running={'LINEAR': 38, 'SOLVED_FMB': 4, 'THEOREM': 14}
[57] order5big_0455: LINEAR (0.0s)  running={'LINEAR': 39, 'SOLVED_FMB': 4, 'THEOREM': 14}
[58] order5big_0463: LINEAR (0.0s)  running={'LINEAR': 40, 'SOLVED_FMB': 4, 'THEOREM': 14}
[59] order5big_0471: THEOREM (72.2s)  running={'LINEAR': 40, 'SOLVED_FMB': 4, 'THEOREM': 15}
[60] order5big_0479: THEOREM (60.5s)  running={'LINEAR': 40, 'SOLVED_FMB': 4, 'THEOREM': 16}
[61] order5big_0487: LINEAR (0.0s)  running={'LINEAR': 41, 'SOLVED_FMB': 4, 'THEOREM': 16}
[62] order5big_0495: THEOREM (60.2s)  running={'LINEAR': 41, 'SOLVED_FMB': 4, 'THEOREM': 17}
[63] order5big_0503: LINEAR (0.0s)  running={'LINEAR': 42, 'SOLVED_FMB': 4, 'THEOREM': 17}
[64] order5big_0511: LINEAR (0.0s)  running={'LINEAR': 43, 'SOLVED_FMB': 4, 'THEOREM': 17}
[65] order5big_0519: THEOREM (60.2s)  running={'LINEAR': 43, 'SOLVED_FMB': 4, 'THEOREM': 18}
[66] order5big_0527: LINEAR (0.0s)  running={'LINEAR': 44, 'SOLVED_FMB': 4, 'THEOREM': 18}
[67] order5big_0535: LINEAR (0.0s)  running={'LINEAR': 45, 'SOLVED_FMB': 4, 'THEOREM': 18}
[68] order5big_0543: LINEAR (0.0s)  running={'LINEAR': 46, 'SOLVED_FMB': 4, 'THEOREM': 18}
[69] order5big_0551: THEOREM (60.2s)  running={'LINEAR': 46, 'SOLVED_FMB': 4, 'THEOREM': 19}
[70] order5big_0559: LINEAR (0.0s)  running={'LINEAR': 47, 'SOLVED_FMB': 4, 'THEOREM': 19}
[71] order5big_0567: LINEAR (0.0s)  running={'LINEAR': 48, 'SOLVED_FMB': 4, 'THEOREM': 19}
[72] order5big_0575: LINEAR (0.0s)  running={'LINEAR': 49, 'SOLVED_FMB': 4, 'THEOREM': 19}
[73] order5big_0583: LINEAR (0.0s)  running={'LINEAR': 50, 'SOLVED_FMB': 4, 'THEOREM': 19}
[74] order5big_0591: THEOREM (0.8s)  running={'LINEAR': 50, 'SOLVED_FMB': 4, 'THEOREM': 20}
[75] order5big_0599: THEOREM (60.6s)  running={'LINEAR': 50, 'SOLVED_FMB': 4, 'THEOREM': 21}
[76] order5big_0607: THEOREM (4.4s)  running={'LINEAR': 50, 'SOLVED_FMB': 4, 'THEOREM': 22}
[77] order5big_0615: LINEAR (0.0s)  running={'LINEAR': 51, 'SOLVED_FMB': 4, 'THEOREM': 22}
[78] order5big_0623: THEOREM (60.5s)  running={'LINEAR': 51, 'SOLVED_FMB': 4, 'THEOREM': 23}
[79] order5big_0631: LINEAR (0.0s)  running={'LINEAR': 52, 'SOLVED_FMB': 4, 'THEOREM': 23}
[80] order5big_0639: THEOREM (60.2s)  running={'LINEAR': 52, 'SOLVED_FMB': 4, 'THEOREM': 24}
[81] order5big_0647: LINEAR (0.0s)  running={'LINEAR': 53, 'SOLVED_FMB': 4, 'THEOREM': 24}
[82] order5big_0655: SOLVED_FMB (1.6s)  running={'LINEAR': 53, 'SOLVED_FMB': 5, 'THEOREM': 24}
[83] order5big_0663: THEOREM (60.2s)  running={'LINEAR': 53, 'SOLVED_FMB': 5, 'THEOREM': 25}
[84] order5big_0671: LINEAR (0.0s)  running={'LINEAR': 54, 'SOLVED_FMB': 5, 'THEOREM': 25}
[85] order5big_0679: LINEAR (0.0s)  running={'LINEAR': 55, 'SOLVED_FMB': 5, 'THEOREM': 25}
[86] order5big_0687: LINEAR (0.0s)  running={'LINEAR': 56, 'SOLVED_FMB': 5, 'THEOREM': 25}
[87] order5big_0695: THEOREM (60.5s)  running={'LINEAR': 56, 'SOLVED_FMB': 5, 'THEOREM': 26}
[88] order5big_0703: LINEAR (0.0s)  running={'LINEAR': 57, 'SOLVED_FMB': 5, 'THEOREM': 26}
[89] order5big_0711: LINEAR (0.0s)  running={'LINEAR': 58, 'SOLVED_FMB': 5, 'THEOREM': 26}
[90] order5big_0719: LINEAR (0.0s)  running={'LINEAR': 59, 'SOLVED_FMB': 5, 'THEOREM': 26}
[91] order5big_0727: LINEAR (0.0s)  running={'LINEAR': 60, 'SOLVED_FMB': 5, 'THEOREM': 26}
[92] order5big_0735: THEOREM (44.8s)  running={'LINEAR': 60, 'SOLVED_FMB': 5, 'THEOREM': 27}
[93] order5big_0743: THEOREM (60.6s)  running={'LINEAR': 60, 'SOLVED_FMB': 5, 'THEOREM': 28}
[94] order5big_0751: LINEAR (0.0s)  running={'LINEAR': 61, 'SOLVED_FMB': 5, 'THEOREM': 28}
[95] order5big_0759: LINEAR (0.0s)  running={'LINEAR': 62, 'SOLVED_FMB': 5, 'THEOREM': 28}
[96] order5big_0767: LINEAR (0.0s)  running={'LINEAR': 63, 'SOLVED_FMB': 5, 'THEOREM': 28}
[97] order5big_0775: THEOREM (63.0s)  running={'LINEAR': 63, 'SOLVED_FMB': 5, 'THEOREM': 29}
[98] order5big_0783: LINEAR (0.0s)  running={'LINEAR': 64, 'SOLVED_FMB': 5, 'THEOREM': 29}
[99] order5big_0791: THEOREM (60.2s)  running={'LINEAR': 64, 'SOLVED_FMB': 5, 'THEOREM': 30}
[100] order5big_0799: LINEAR (0.0s)  running={'LINEAR': 65, 'SOLVED_FMB': 5, 'THEOREM': 30}
[101] order5big_0807: THEOREM (60.2s)  running={'LINEAR': 65, 'SOLVED_FMB': 5, 'THEOREM': 31}
[102] order5big_0815: THEOREM (60.5s)  running={'LINEAR': 65, 'SOLVED_FMB': 5, 'THEOREM': 32}
[103] order5big_0823: THEOREM (60.3s)  running={'LINEAR': 65, 'SOLVED_FMB': 5, 'THEOREM': 33}
[104] order5big_0831: THEOREM (60.2s)  running={'LINEAR': 65, 'SOLVED_FMB': 5, 'THEOREM': 34}
[105] order5big_0839: LINEAR (0.0s)  running={'LINEAR': 66, 'SOLVED_FMB': 5, 'THEOREM': 34}
[106] order5big_0847: LINEAR (0.0s)  running={'LINEAR': 67, 'SOLVED_FMB': 5, 'THEOREM': 34}
[107] order5big_0855: LINEAR (0.0s)  running={'LINEAR': 68, 'SOLVED_FMB': 5, 'THEOREM': 34}
[108] order5big_0863: LINEAR (0.0s)  running={'LINEAR': 69, 'SOLVED_FMB': 5, 'THEOREM': 34}
[109] order5big_0871: LINEAR (0.0s)  running={'LINEAR': 70, 'SOLVED_FMB': 5, 'THEOREM': 34}
[110] order5big_0879: THEOREM (73.6s)  running={'LINEAR': 70, 'SOLVED_FMB': 5, 'THEOREM': 35}
[111] order5big_0887: THEOREM (74.0s)  running={'LINEAR': 70, 'SOLVED_FMB': 5, 'THEOREM': 36}
[112] order5big_0895: LINEAR (0.0s)  running={'LINEAR': 71, 'SOLVED_FMB': 5, 'THEOREM': 36}
[113] order5big_0903: LINEAR (0.0s)  running={'LINEAR': 72, 'SOLVED_FMB': 5, 'THEOREM': 36}
[114] order5big_0911: LINEAR (0.0s)  running={'LINEAR': 73, 'SOLVED_FMB': 5, 'THEOREM': 36}
[115] order5big_0919: THEOREM (60.2s)  running={'LINEAR': 73, 'SOLVED_FMB': 5, 'THEOREM': 37}
[116] order5big_0927: LINEAR (0.0s)  running={'LINEAR': 74, 'SOLVED_FMB': 5, 'THEOREM': 37}
[117] order5big_0935: THEOREM (60.4s)  running={'LINEAR': 74, 'SOLVED_FMB': 5, 'THEOREM': 38}
[118] order5big_0943: LINEAR (0.0s)  running={'LINEAR': 75, 'SOLVED_FMB': 5, 'THEOREM': 38}
[119] order5big_0951: LINEAR (0.0s)  running={'LINEAR': 76, 'SOLVED_FMB': 5, 'THEOREM': 38}
[120] order5big_0959: LINEAR (0.0s)  running={'LINEAR': 77, 'SOLVED_FMB': 5, 'THEOREM': 38}
[121] order5big_0967: LINEAR (0.0s)  running={'LINEAR': 78, 'SOLVED_FMB': 5, 'THEOREM': 38}
[122] order5big_0975: THEOREM (60.4s)  running={'LINEAR': 78, 'SOLVED_FMB': 5, 'THEOREM': 39}
[123] order5big_0983: LINEAR (0.0s)  running={'LINEAR': 79, 'SOLVED_FMB': 5, 'THEOREM': 39}
[124] order5big_0991: LINEAR (0.0s)  running={'LINEAR': 80, 'SOLVED_FMB': 5, 'THEOREM': 39}
[125] order5big_0999: SOLVED_FMB (2.1s)  running={'LINEAR': 80, 'SOLVED_FMB': 6, 'THEOREM': 39}
[126] order5big_1007: LINEAR (0.0s)  running={'LINEAR': 81, 'SOLVED_FMB': 6, 'THEOREM': 39}
[127] order5big_1015: THEOREM (62.9s)  running={'LINEAR': 81, 'SOLVED_FMB': 6, 'THEOREM': 40}
[128] order5big_1023: LINEAR (0.0s)  running={'LINEAR': 82, 'SOLVED_FMB': 6, 'THEOREM': 40}
[129] order5big_1031: THEOREM (60.2s)  running={'LINEAR': 82, 'SOLVED_FMB': 6, 'THEOREM': 41}
[130] order5big_1039: THEOREM (60.2s)  running={'LINEAR': 82, 'SOLVED_FMB': 6, 'THEOREM': 42}
[131] order5big_1047: THEOREM (15.7s)  running={'LINEAR': 82, 'SOLVED_FMB': 6, 'THEOREM': 43}
[132] order5big_1055: LINEAR (0.0s)  running={'LINEAR': 83, 'SOLVED_FMB': 6, 'THEOREM': 43}
[133] order5big_1063: THEOREM (60.5s)  running={'LINEAR': 83, 'SOLVED_FMB': 6, 'THEOREM': 44}
[134] order5big_1071: HARD_NONLINEAR (120.1s)  running={'LINEAR': 83, 'SOLVED_FMB': 6, 'THEOREM': 44, 'HARD_NONLINEAR': 1}
[135] order5big_1079: LINEAR (0.0s)  running={'LINEAR': 84, 'SOLVED_FMB': 6, 'THEOREM': 44, 'HARD_NONLINEAR': 1}
[136] order5big_1087: LINEAR (0.0s)  running={'LINEAR': 85, 'SOLVED_FMB': 6, 'THEOREM': 44, 'HARD_NONLINEAR': 1}
[137] order5big_1095: LINEAR (0.0s)  running={'LINEAR': 86, 'SOLVED_FMB': 6, 'THEOREM': 44, 'HARD_NONLINEAR': 1}
[138] order5big_1103: THEOREM (3.5s)  running={'LINEAR': 86, 'SOLVED_FMB': 6, 'THEOREM': 45, 'HARD_NONLINEAR': 1}
[139] order5big_1111: THEOREM (60.6s)  running={'LINEAR': 86, 'SOLVED_FMB': 6, 'THEOREM': 46, 'HARD_NONLINEAR': 1}
[140] order5big_1119: SOLVED_FMB (1.2s)  running={'LINEAR': 86, 'SOLVED_FMB': 7, 'THEOREM': 46, 'HARD_NONLINEAR': 1}
[141] order5big_1127: THEOREM (60.2s)  running={'LINEAR': 86, 'SOLVED_FMB': 7, 'THEOREM': 47, 'HARD_NONLINEAR': 1}
[142] order5big_1135: LINEAR (0.0s)  running={'LINEAR': 87, 'SOLVED_FMB': 7, 'THEOREM': 47, 'HARD_NONLINEAR': 1}
[143] order5big_1143: THEOREM (60.3s)  running={'LINEAR': 87, 'SOLVED_FMB': 7, 'THEOREM': 48, 'HARD_NONLINEAR': 1}
[144] order5big_1151: LINEAR (0.0s)  running={'LINEAR': 88, 'SOLVED_FMB': 7, 'THEOREM': 48, 'HARD_NONLINEAR': 1}
[145] order5big_1159: THEOREM (60.2s)  running={'LINEAR': 88, 'SOLVED_FMB': 7, 'THEOREM': 49, 'HARD_NONLINEAR': 1}
[146] order5big_1167: THEOREM (60.2s)  running={'LINEAR': 88, 'SOLVED_FMB': 7, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[147] order5big_1175: LINEAR (0.0s)  running={'LINEAR': 89, 'SOLVED_FMB': 7, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[148] order5big_1183: LINEAR (0.0s)  running={'LINEAR': 90, 'SOLVED_FMB': 7, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[149] order5big_1191: LINEAR (0.0s)  running={'LINEAR': 91, 'SOLVED_FMB': 7, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[150] order5big_1199: SOLVED_FMB (0.1s)  running={'LINEAR': 91, 'SOLVED_FMB': 8, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[151] order5big_1207: LINEAR (0.0s)  running={'LINEAR': 92, 'SOLVED_FMB': 8, 'THEOREM': 50, 'HARD_NONLINEAR': 1}
[152] order5big_1215: THEOREM (60.2s)  running={'LINEAR': 92, 'SOLVED_FMB': 8, 'THEOREM': 51, 'HARD_NONLINEAR': 1}
[153] order5big_1223: LINEAR (0.0s)  running={'LINEAR': 93, 'SOLVED_FMB': 8, 'THEOREM': 51, 'HARD_NONLINEAR': 1}
[154] order5big_1231: LINEAR (0.0s)  running={'LINEAR': 94, 'SOLVED_FMB': 8, 'THEOREM': 51, 'HARD_NONLINEAR': 1}
[155] order5big_1239: THEOREM (60.2s)  running={'LINEAR': 94, 'SOLVED_FMB': 8, 'THEOREM': 52, 'HARD_NONLINEAR': 1}
[156] order5big_1247: THEOREM (60.6s)  running={'LINEAR': 94, 'SOLVED_FMB': 8, 'THEOREM': 53, 'HARD_NONLINEAR': 1}
[157] order5big_1255: LINEAR (0.0s)  running={'LINEAR': 95, 'SOLVED_FMB': 8, 'THEOREM': 53, 'HARD_NONLINEAR': 1}
[158] order5big_1263: LINEAR (0.0s)  running={'LINEAR': 96, 'SOLVED_FMB': 8, 'THEOREM': 53, 'HARD_NONLINEAR': 1}
[159] order5big_1271: LINEAR (0.0s)  running={'LINEAR': 97, 'SOLVED_FMB': 8, 'THEOREM': 53, 'HARD_NONLINEAR': 1}
[160] order5big_1279: LINEAR (0.0s)  running={'LINEAR': 98, 'SOLVED_FMB': 8, 'THEOREM': 53, 'HARD_NONLINEAR': 1}
[161] order5big_1287: THEOREM (60.2s)  running={'LINEAR': 98, 'SOLVED_FMB': 8, 'THEOREM': 54, 'HARD_NONLINEAR': 1}
[162] order5big_1295: THEOREM (60.2s)  running={'LINEAR': 98, 'SOLVED_FMB': 8, 'THEOREM': 55, 'HARD_NONLINEAR': 1}
[163] order5big_1303: LINEAR (0.0s)  running={'LINEAR': 99, 'SOLVED_FMB': 8, 'THEOREM': 55, 'HARD_NONLINEAR': 1}
[164] order5big_1311: LINEAR (0.0s)  running={'LINEAR': 100, 'SOLVED_FMB': 8, 'THEOREM': 55, 'HARD_NONLINEAR': 1}
[165] order5big_1319: THEOREM (61.1s)  running={'LINEAR': 100, 'SOLVED_FMB': 8, 'THEOREM': 56, 'HARD_NONLINEAR': 1}
[166] order5big_1327: LINEAR (0.0s)  running={'LINEAR': 101, 'SOLVED_FMB': 8, 'THEOREM': 56, 'HARD_NONLINEAR': 1}
[167] order5big_1335: LINEAR (0.0s)  running={'LINEAR': 102, 'SOLVED_FMB': 8, 'THEOREM': 56, 'HARD_NONLINEAR': 1}
[168] order5big_1343: LINEAR (0.0s)  running={'LINEAR': 103, 'SOLVED_FMB': 8, 'THEOREM': 56, 'HARD_NONLINEAR': 1}
[169] order5big_1351: LINEAR (0.0s)  running={'LINEAR': 104, 'SOLVED_FMB': 8, 'THEOREM': 56, 'HARD_NONLINEAR': 1}
[170] order5big_1359: THEOREM (60.2s)  running={'LINEAR': 104, 'SOLVED_FMB': 8, 'THEOREM': 57, 'HARD_NONLINEAR': 1}
[171] order5big_1367: LINEAR (0.0s)  running={'LINEAR': 105, 'SOLVED_FMB': 8, 'THEOREM': 57, 'HARD_NONLINEAR': 1}
[172] order5big_1375: LINEAR (0.0s)  running={'LINEAR': 106, 'SOLVED_FMB': 8, 'THEOREM': 57, 'HARD_NONLINEAR': 1}
[173] order5big_1383: LINEAR (0.0s)  running={'LINEAR': 107, 'SOLVED_FMB': 8, 'THEOREM': 57, 'HARD_NONLINEAR': 1}
[174] order5big_1391: LINEAR (0.0s)  running={'LINEAR': 108, 'SOLVED_FMB': 8, 'THEOREM': 57, 'HARD_NONLINEAR': 1}
[175] order5big_1399: THEOREM (60.2s)  running={'LINEAR': 108, 'SOLVED_FMB': 8, 'THEOREM': 58, 'HARD_NONLINEAR': 1}
[176] order5big_1407: LINEAR (0.0s)  running={'LINEAR': 109, 'SOLVED_FMB': 8, 'THEOREM': 58, 'HARD_NONLINEAR': 1}
[177] order5big_1415: THEOREM (60.3s)  running={'LINEAR': 109, 'SOLVED_FMB': 8, 'THEOREM': 59, 'HARD_NONLINEAR': 1}
[178] order5big_1423: THEOREM (63.7s)  running={'LINEAR': 109, 'SOLVED_FMB': 8, 'THEOREM': 60, 'HARD_NONLINEAR': 1}
[179] order5big_1431: LINEAR (0.0s)  running={'LINEAR': 110, 'SOLVED_FMB': 8, 'THEOREM': 60, 'HARD_NONLINEAR': 1}
[180] order5big_1439: LINEAR (0.0s)  running={'LINEAR': 111, 'SOLVED_FMB': 8, 'THEOREM': 60, 'HARD_NONLINEAR': 1}
[181] order5big_1447: LINEAR (0.0s)  running={'LINEAR': 112, 'SOLVED_FMB': 8, 'THEOREM': 60, 'HARD_NONLINEAR': 1}
[182] order5big_1455: THEOREM (1.1s)  running={'LINEAR': 112, 'SOLVED_FMB': 8, 'THEOREM': 61, 'HARD_NONLINEAR': 1}
[183] order5big_1463: LINEAR (0.0s)  running={'LINEAR': 113, 'SOLVED_FMB': 8, 'THEOREM': 61, 'HARD_NONLINEAR': 1}
[184] order5big_1471: THEOREM (23.0s)  running={'LINEAR': 113, 'SOLVED_FMB': 8, 'THEOREM': 62, 'HARD_NONLINEAR': 1}
[185] order5big_1479: THEOREM (3.2s)  running={'LINEAR': 113, 'SOLVED_FMB': 8, 'THEOREM': 63, 'HARD_NONLINEAR': 1}
[186] order5big_1487: LINEAR (0.0s)  running={'LINEAR': 114, 'SOLVED_FMB': 8, 'THEOREM': 63, 'HARD_NONLINEAR': 1}
[187] order5big_1495: THEOREM (60.3s)  running={'LINEAR': 114, 'SOLVED_FMB': 8, 'THEOREM': 64, 'HARD_NONLINEAR': 1}
[188] order5big_1503: LINEAR (0.0s)  running={'LINEAR': 115, 'SOLVED_FMB': 8, 'THEOREM': 64, 'HARD_NONLINEAR': 1}
[189] order5big_1511: THEOREM (60.5s)  running={'LINEAR': 115, 'SOLVED_FMB': 8, 'THEOREM': 65, 'HARD_NONLINEAR': 1}
[190] order5big_1519: THEOREM (60.8s)  running={'LINEAR': 115, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[191] order5big_1527: LINEAR (0.0s)  running={'LINEAR': 116, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[192] order5big_1535: LINEAR (0.0s)  running={'LINEAR': 117, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[193] order5big_1543: LINEAR (0.0s)  running={'LINEAR': 118, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[194] order5big_1551: LINEAR (0.0s)  running={'LINEAR': 119, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[195] order5big_1559: LINEAR (0.0s)  running={'LINEAR': 120, 'SOLVED_FMB': 8, 'THEOREM': 66, 'HARD_NONLINEAR': 1}
[196] order5big_1567: THEOREM (60.5s)  running={'LINEAR': 120, 'SOLVED_FMB': 8, 'THEOREM': 67, 'HARD_NONLINEAR': 1}
[197] order5big_1575: LINEAR (0.0s)  running={'LINEAR': 121, 'SOLVED_FMB': 8, 'THEOREM': 67, 'HARD_NONLINEAR': 1}
[198] order5big_1583: THEOREM (60.2s)  running={'LINEAR': 121, 'SOLVED_FMB': 8, 'THEOREM': 68, 'HARD_NONLINEAR': 1}
[199] order5big_1591: THEOREM (60.2s)  running={'LINEAR': 121, 'SOLVED_FMB': 8, 'THEOREM': 69, 'HARD_NONLINEAR': 1}
[200] order5big_1599: THEOREM (60.2s)  running={'LINEAR': 121, 'SOLVED_FMB': 8, 'THEOREM': 70, 'HARD_NONLINEAR': 1}
[201] order5big_1607: THEOREM (60.2s)  running={'LINEAR': 121, 'SOLVED_FMB': 8, 'THEOREM': 71, 'HARD_NONLINEAR': 1}
[202] order5big_1615: LINEAR (0.0s)  running={'LINEAR': 122, 'SOLVED_FMB': 8, 'THEOREM': 71, 'HARD_NONLINEAR': 1}
[203] order5big_1623: THEOREM (60.2s)  running={'LINEAR': 122, 'SOLVED_FMB': 8, 'THEOREM': 72, 'HARD_NONLINEAR': 1}
[204] order5big_1631: LINEAR (0.0s)  running={'LINEAR': 123, 'SOLVED_FMB': 8, 'THEOREM': 72, 'HARD_NONLINEAR': 1}
[205] order5big_1639: SOLVED_FMB (10.2s)  running={'LINEAR': 123, 'SOLVED_FMB': 9, 'THEOREM': 72, 'HARD_NONLINEAR': 1}
[206] order5big_1647: LINEAR (0.0s)  running={'LINEAR': 124, 'SOLVED_FMB': 9, 'THEOREM': 72, 'HARD_NONLINEAR': 1}
[207] order5big_1655: THEOREM (60.2s)  running={'LINEAR': 124, 'SOLVED_FMB': 9, 'THEOREM': 73, 'HARD_NONLINEAR': 1}
[208] order5big_1663: LINEAR (0.0s)  running={'LINEAR': 125, 'SOLVED_FMB': 9, 'THEOREM': 73, 'HARD_NONLINEAR': 1}
